<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMBV4.SA,D,20000501,000000,47.9200,47.9200,47.9200,47.9200,0,0
AMBV4.SA,D,20000502,000000,48.0000,49.5100,48.0000,49.5100,8300,0
AMBV4.SA,D,20000503,000000,49.5100,49.5100,49.5100,49.5100,5500,0
AMBV4.SA,D,20000504,000000,49.5000,49.5000,49.5000,49.5000,5500,0
AMBV4.SA,D,20000505,000000,49.5000,51.4900,49.5000,49.5000,0,0
AMBV4.SA,D,20000508,000000,49.5000,49.5000,49.5000,49.5000,200,0
AMBV4.SA,D,20000509,000000,49.5000,49.5000,49.5000,49.5000,1200,0
AMBV4.SA,D,20000510,000000,49.5000,49.5000,49.5000,49.5000,0,0
AMBV4.SA,D,20000511,000000,49.5000,49.5000,49.5000,49.5000,0,0
AMBV4.SA,D,20000512,000000,49.5000,49.5000,49.5000,49.5000,0,0
AMBV4.SA,D,20000515,000000,49.5000,49.5000,49.5000,49.5000,0,0
AMBV4.SA,D,20000516,000000,49.5000,49.5000,49.5000,49.5000,0,0
AMBV4.SA,D,20000517,000000,39.6000,49.1100,39.6000,39.6000,0,0
AMBV4.SA,D,20000518,000000,46.6500,46.6500,46.6500,46.6500,4700,0
AMBV4.SA,D,20000519,000000,46.6500,46.6500,46.6500,46.6500,0,0
AMBV4.SA,D,20000522,000000,46.6500,46.6500,46.6500,46.6500,0,0
AMBV4.SA,D,20000523,000000,46.6500,46.6500,46.6500,46.6500,0,0
AMBV4.SA,D,20000524,000000,43.5600,49.1100,43.5600,43.5600,0,0
AMBV4.SA,D,20000525,000000,43.5600,43.5600,43.5600,43.5600,0,0
AMBV4.SA,D,20000526,000000,43.5600,43.5600,43.5600,43.5600,0,0
AMBV4.SA,D,20000529,000000,43.5600,49.1100,43.5600,43.5600,0,0
AMBV4.SA,D,20000530,000000,46.7300,49.1100,46.7300,46.7300,0,0
AMBV4.SA,D,20000531,000000,49.1100,49.1100,49.1100,49.1100,24200,0
AMBV4.SA,D,20000601,000000,49.1100,54.6100,49.1100,49.1100,0,0
AMBV4.SA,D,20000602,000000,49.1100,49.1100,49.1100,49.1100,5000,0
AMBV4.SA,D,20000605,000000,49.0700,49.0700,49.0700,49.0700,500,0
AMBV4.SA,D,20000606,000000,49.0700,49.0700,49.0700,49.0700,0,0
AMBV4.SA,D,20000607,000000,51.4900,51.9200,51.4900,51.4900,131500,0
AMBV4.SA,D,20000608,000000,51.9600,51.9600,51.9600,51.9600,1200,0
AMBV4.SA,D,20000609,000000,49.5000,54.2600,49.5000,49.5000,0,0
AMBV4.SA,D,20000612,000000,50.3000,51.8800,50.3000,50.3000,0,0
AMBV4.SA,D,20000613,000000,51.9600,51.9600,51.4900,51.4900,700,0
AMBV4.SA,D,20000614,000000,51.4900,51.4900,51.4900,51.4900,200,0
AMBV4.SA,D,20000615,000000,51.4900,53.4700,51.4900,53.4700,18400,0
AMBV4.SA,D,20000616,000000,51.4900,54.6500,51.4900,51.4900,0,0
AMBV4.SA,D,20000619,000000,51.8800,51.8800,51.8800,51.8800,200,0
AMBV4.SA,D,20000620,000000,55.4500,55.4500,54.2600,54.2600,29000,0
AMBV4.SA,D,20000621,000000,56.2400,57.4300,56.2400,56.2400,219400,0
AMBV4.SA,D,20000622,000000,56.2400,56.2400,56.2400,56.2400,0,0
AMBV4.SA,D,20000623,000000,57.4300,57.8200,57.4300,57.4300,65600,0
AMBV4.SA,D,20000626,000000,57.4300,57.4300,57.4300,57.4300,5500,0
AMBV4.SA,D,20000627,000000,55.8400,59.4100,55.8400,55.8400,0,0
AMBV4.SA,D,20000628,000000,57.4700,57.6200,57.4300,57.6200,26500,0
AMBV4.SA,D,20000629,000000,57.4300,57.4300,57.4300,57.4300,200,0
AMBV4.SA,D,20000630,000000,57.6200,57.6200,57.6200,57.6200,11100,0
AMBV4.SA,D,20000703,000000,57.6200,57.6200,57.6200,57.6200,7300,0
AMBV4.SA,D,20000704,000000,58.0600,58.2200,58.0600,58.2200,13300,0
AMBV4.SA,D,20000705,000000,58.2200,58.6100,57.8600,57.8600,27700,0
AMBV4.SA,D,20000706,000000,58.2200,58.6100,58.2200,58.6100,25200,0
AMBV4.SA,D,20000707,000000,59.4100,59.4100,59.4100,59.4100,12600,0
AMBV4.SA,D,20000710,000000,61.3900,61.3900,61.3900,61.3900,12600,0
AMBV4.SA,D,20000711,000000,63.7600,64.1600,63.7600,64.1600,47900,0
AMBV4.SA,D,20000712,000000,65.3500,65.3500,64.9500,64.9500,32800,0
AMBV4.SA,D,20000713,000000,68.1200,68.1200,65.5800,65.5800,500,0
AMBV4.SA,D,20000714,000000,65.5800,65.5800,64.9500,65.3500,3700,0
AMBV4.SA,D,20000717,000000,68.1200,68.1200,68.1200,68.1200,200,0
AMBV4.SA,D,20000718,000000,69.3100,71.2900,69.3100,71.2900,13800,0
AMBV4.SA,D,20000719,000000,71.2900,71.2900,71.2900,71.2900,1200,0
AMBV4.SA,D,20000720,000000,71.8800,71.8800,71.6800,71.6800,8000,0
AMBV4.SA,D,20000721,000000,72.8700,72.8700,72.8700,72.8700,2500,0
AMBV4.SA,D,20000724,000000,72.8700,72.8700,72.8700,72.8700,0,0
AMBV4.SA,D,20000725,000000,72.8700,72.8700,72.8700,72.8700,0,0
AMBV4.SA,D,20000726,000000,72.8700,72.8700,72.8700,72.8700,0,0
AMBV4.SA,D,20000727,000000,69.3100,74.4600,69.3100,69.3100,0,0
AMBV4.SA,D,20000728,000000,71.2900,74.4600,71.2900,71.2900,0,0
AMBV4.SA,D,20000731,000000,72.8700,72.8700,72.8700,72.8700,200,0
AMBV4.SA,D,20000801,000000,72.4800,74.4600,72.4800,72.4800,0,0
AMBV4.SA,D,20000802,000000,72.8700,72.8700,72.8700,72.8700,700,0
AMBV4.SA,D,20000803,000000,69.3100,73.2700,69.3100,69.3100,0,0
AMBV4.SA,D,20000804,000000,73.2700,73.2700,73.2700,73.2700,37800,0
AMBV4.SA,D,20000807,000000,73.2700,73.2700,73.2700,73.2700,0,0
AMBV4.SA,D,20000808,000000,73.2700,73.2700,73.2700,73.2700,0,0
AMBV4.SA,D,20000809,000000,73.2700,73.2700,73.2700,73.2700,700,0
AMBV4.SA,D,20000810,000000,73.2700,74.8500,73.2700,73.2700,0,0
AMBV4.SA,D,20000811,000000,73.2700,73.2700,73.2700,73.2700,200,0
AMBV4.SA,D,20000814,000000,74.0600,74.0600,74.0600,74.0600,1000,0
AMBV4.SA,D,20000815,000000,69.3100,74.4600,69.3100,69.3100,0,0
AMBV4.SA,D,20000816,000000,73.2700,73.2700,71.2900,71.2900,27200,0
AMBV4.SA,D,20000817,000000,71.2900,73.2700,71.2900,71.2900,0,0
AMBV4.SA,D,20000818,000000,71.2900,71.2900,71.2900,71.2900,0,0
AMBV4.SA,D,20000821,000000,71.2900,71.2900,71.2900,71.2900,1200,0
AMBV4.SA,D,20000822,000000,71.2900,75.2500,71.2900,71.2900,0,0
AMBV4.SA,D,20000823,000000,72.0800,72.0800,72.0800,72.0800,5000,0
AMBV4.SA,D,20000824,000000,73.2700,73.2700,73.2700,73.2700,7000,0
AMBV4.SA,D,20000825,000000,73.2700,73.6600,73.2700,73.6600,8500,0
AMBV4.SA,D,20000828,000000,73.6600,73.6600,73.6600,73.6600,15400,0
AMBV4.SA,D,20000829,000000,73.6600,73.6600,71.6800,71.6800,8000,0
AMBV4.SA,D,20000830,000000,73.6600,73.6600,73.6600,73.6600,11300,0
AMBV4.SA,D,20000831,000000,72.4800,73.6600,72.4800,73.6600,6300,0
AMBV4.SA,D,20000901,000000,74.0600,74.0600,74.0600,74.0600,5000,0
AMBV4.SA,D,20000904,000000,74.0600,74.8500,74.0600,74.8500,3000,0
AMBV4.SA,D,20000905,000000,75.2500,79.2100,75.2500,75.2500,0,0
